"Id","PartNumber","Name","Price","Unit","Photopath","VendorId"
"1","4874-58160-LQSVAVWF-ACOU","Acoustic Upper Atmosphere Vibrator","1.04","cubic foot (ft³)","https://www.CurufinConstructionAndUtilities.com/Atmosphere.png","982"
"2","CURI-668210-PRPGK-227","Curious Single Participation","6.53","volts per meter (V/m)","http://www.BagginsTruckTransportation.com/Curious/Single.yup","1507"
"3","COS-431-5140-MCSQYNE","Cosmetic Alfven Fusion","3.48","kilowatt hours per square foot (kWh/)",,"202"
"4","78010-SRHNKXH-5436-AUT","Automatic Helium Shell Operator","1.72","kilobyte (kB)","https://www.BolgerLandSurveying.com/Shell.png","984"
"5","ZCYNWAA-934-30240-SYN","Synthetic Lunar Geodesy Edwards","3.98","pound (lb)","https://www.WormtongueChildCareServices.com/Edwards/Lunar.jpg","868"
"6","CIPMSPOK-1431-1991250-DIAGNOST","Diagnostic Cosmic Abundance Indication","6.81","milliwatt (mW)","https://www.HalbaradDrugScreening.com/Abundance/Diagnostic.ico","2164"
"7","PLAS-UIFVEE-5345-5401400","Plastic Lunar Origin Vision","2.49","year (yr)",,"771"
"8","AQUAT-4682-31470-SABDG","Aquatic Moving Cluster Parallax Visitor","6.78","week (wk)","https://www.NamoMassageAndDaySpa.com/Visitor.png","1724"
"9","REL-4590-995580-HHQEZVBN","Religious Post-asymptotic Giant Branch Occasional","0.73","kilobtu per square foot (kBTU/ft²)","https://www.VardaOilExtraction.com/Giant/Post-asymptotic.gif","1990"
"10","LBUZCAJV-4767-66090-FAM","Famous Satellite Formation","8.99","kilograms per square meter (kg/m²)","https://www.TreebeardInsurance.com/Famous/Formation.jpeg","537"
"11","SYS-611830-QISTUQCK-9015","Systematic Abell Ejaculation","3.69","btus per hour (BTU/h)","http://www.MaeglinAuditing.com/Systematic.bmp","2482"
"12","AUTOM-6989-8245550-HAYVQCP","Automatic Relativistic Criminal","1.61","kilograms per square meter (kg/m²)","http://www.CaranthirMedicalTransportation.com/Automatic/Criminal.gif","2063"
"13","8117850-GPIMS-577-THERAPE","Therapeutic Lunar Geochronology Legislation","6.69","foot (ft)",,"1480"
"14","HARL-SCJDQMPS-247-8620","Harley Luminosity Function","3.78","square millimeter (mm²)","http://www.GrahameMentalHealthServices.com/Function/Harley.bmp","601"
"15","NUMERO-1617-2560-PNDXTC","Numerous English Cards","2.66","byte (B)","http://www.ElrohirSportsAgency.com/Cards/English.yup","514"
"16","ACOUS-4634-45410-TDXOJYZI","Acoustic Alfven Institution","5","meter (m)","https://www.ElrosSecurityGuard.com/Alfven.bmp","396"
"17","OBVI-1855320-DQQHZBT-6484","Obvious Pogson Scale Irrigation","4.25","square kilometer (km²)",,"158"
"18","ERO-KBJRO-9170-49000","Erotic Recurrent Novae Confirmation","3.01","volt ampere (VA)","https://www.MirielArchitecture.com/Novae/Recurrent.jpg","1937"
"19","VAL-QVIYVUQN-162-40040","Valley Alpha2 Canum Venaticorum Mentor","7.92","volt ampere hour (VAh)",,"526"
"20","COS-4779080-OZZXSFCD-494","Cosmetic Silicon Monoxide Cancellation","16.51","square yard (yd²)",,"2178"
"21","IRPIEGQD-975-97890-GORGE","Gorgeous Milky Galaxy Keyword","6.99","day day ()","https://www.BaranorNonProfit.com/Keyword/Milky.jpeg","971"
"22","GGFPF-8715-6225260-NER","Nervous Relativistic Correction","18.35","cubic centimeter (cm³)","https://www.ValaquentaTelemarketing.com/Relativistic.bmp","1409"
"23","GENER-SQWYQ-9449-208950","Generous Radio Quiet Satisfaction","154.78","mile (mi)","http://www.OlorinMedicalServices.com/Quiet/Radio.jpeg","690"
"24","ACOUS-986260-OHLBTII-3879","Acoustic Hertzsprung Russell Exemption","8.9","weber (Wb)","http://www.HuanEquipmentRentals.com/Exemption/Hertzsprung.gif","1375"
"25","UUYZZVSK-1903-8710-CELT","Celtic Post-asymptotic Giant Branch Corporation","24.09","volt ampere (VA)","http://www.GothmogPublishing.com/Giant/Celtic.jpg","640"
"26","TGPODFWZ-5030-17420-NUMER","Numerous Helium Burning Connection","5.59","henry (H)","https://www.BaranorNonProfit.com/Connection/Helium.ico","971"
"27","798-8004650-VXPYJPJ-DIAG","Diagnostic Lyrae Coordination","1.31","gram (g)","https://www.MelianInsurance.com/Lyrae/Diagnostic.yup","1368"
