"Id","Description","Justification","RejectionReason","DeliveryMode","SubmittedDate","DateNeeded","Status","Total","UserId"
"1","Temp description 3","Temp justification 3",,"Freight","03/02/2023","03/15/2023","PENDING","19.51","2914"
"2","temp description 2","Temp justification 1",,"Standard Shipping","03/07/2023","03/15/2023","PENDING","17.08","4154"
"3","temp description 2","Temp justification 3",,"Freight","03/04/2023","03/18/2023","PENDING","52.71","2683"
"4","Temp description 1","Temp justification 3","Temp rejection reason 3","White-Glove","03/02/2023","03/18/2023","REJECTED","10.61","2327"
"5","temp description 2","Temp justification 2",,"Standard Shipping","03/06/2023","03/16/2023","PENDING","39.33","3676"
"7","Temp description 1","Temp justification 3",,"Courier","03/05/2023","03/21/2023","APPROVED","2.71","2169"
"8","Temp description 1","Temp justification 3",,"Digital","03/06/2023","03/15/2023","APPROVED","52.47","690"
"10","temp description 2","Temp justification 1",,"Express Shipping","03/04/2023","03/20/2023","APPROVED","4.33","1851"
"11","temp description 2","Temp justification 1","Temp rejection reason 2","In-Person Pickup","03/07/2023","03/20/2023","REJECTED","15.92","403"
"12","temp description 2","Temp justification 3",,"Freight","03/05/2023","03/19/2023","APPROVED","26.1","2130"
"13","Temp description 1","Temp justification 1","Temp rejection reason 3","Standard Shipping","03/01/2023","03/19/2023","REJECTED","8.61","231"
"14","temp description 2","Temp justification 2",,"Express Shipping","03/07/2023","03/18/2023","PENDING","28.29","3737"
"15","Temp description 1","Temp justification 3",,"Express Shipping","03/07/2023","03/16/2023","REVIEW","16.63","3747"
"17","temp description 2","Temp justification 3",,"Freight","03/08/2023","03/19/2023","REVIEW","10.51","3297"
"18","temp description 2","Temp justification 3",,"In-Person Pickup","03/07/2023","03/18/2023","PENDING","2.49","802"
"19","Temp description 1","Temp justification 2","Temp rejection reason 2","Digital","03/04/2023","03/16/2023","REJECTED","2.92","2064"
"20","temp description 2","Temp justification 3",,"In-Person Pickup","03/05/2023","03/15/2023","REVIEW","37.26","3068"
"21","Temp description 1","Temp justification 1",,"In-Person Pickup","03/08/2023","03/17/2023","REVIEW","25.62","2539"
"23","Temp description 1","Temp justification 3",,"White-Glove","03/06/2023","03/21/2023","REVIEW","21.08","439"
"24","temp description 2","Temp justification 1",,"Express Shipping","03/06/2023","03/15/2023","REVIEW","14.6","4407"
"25","Temp description 1","Temp justification 2",,"Standard Shipping","03/04/2023","03/15/2023","PENDING","55.33","389"
"26","Temp description 1","Temp justification 3","Temp rejection reason 1","White-Glove","03/03/2023","03/15/2023","REJECTED","22.62","3679"
"28","temp description 2","Temp justification 3","Temp rejection reason 3","Courier","03/02/2023","03/18/2023","REJECTED","14.67","3771"
"29","Temp description 3","Temp justification 1",,"Express Shipping","03/03/2023","03/16/2023","REVIEW","28.05","3976"
"31","temp description 2","Temp justification 1",,"In-Person Pickup","03/04/2023","03/17/2023","APPROVED","1.11","3406"
"32","Temp description 3","Temp justification 1",,"Freight","03/07/2023","03/18/2023","APPROVED","1.19","2131"
"33","Temp description 3","Temp justification 3",,"In-Person Pickup","03/02/2023","03/19/2023","APPROVED","0.65","4594"
"34","temp description 2","Temp justification 2",,"Digital","03/07/2023","03/15/2023","REVIEW","9.53","4131"
"35","temp description 2","Temp justification 3",,"Digital","03/08/2023","03/15/2023","PENDING","3.87","4986"
"36","temp description 2","Temp justification 1","Temp rejection reason 1","Express Shipping","03/02/2023","03/15/2023","REJECTED","21.53","2777"
"37","Temp description 3","Temp justification 2",,"White-Glove","03/06/2023","03/18/2023","PENDING","20.24","4498"
"38","Temp description 1","Temp justification 1","Temp rejection reason 1","Digital","03/07/2023","03/18/2023","REJECTED","3.32","2604"
"39","Temp description 1","Temp justification 2","Temp rejection reason 1","Digital","03/04/2023","03/21/2023","REJECTED","0.78","2089"
"40","temp description 2","Temp justification 2",,"Courier","03/06/2023","03/20/2023","APPROVED","24.78","2680"
"42","temp description 2","Temp justification 1",,"Freight","03/07/2023","03/17/2023","PENDING","2.01","4737"
"43","temp description 2","Temp justification 1","Temp rejection reason 1","In-Person Pickup","03/05/2023","03/16/2023","REJECTED","23.25","1116"
"44","temp description 2","Temp justification 1",,"Standard Shipping","03/08/2023","03/19/2023","PENDING","20.93","3374"
"45","Temp description 1","Temp justification 2",,"Standard Shipping","03/02/2023","03/18/2023","APPROVED","22.11","1629"
"46","Temp description 3","Temp justification 3","Temp rejection reason 1","Express Shipping","03/01/2023","03/15/2023","REJECTED","42.41","4910"
"47","Temp description 3","Temp justification 1",,"Courier","03/04/2023","03/17/2023","PENDING","8.59","2252"
"48","Temp description 3","Temp justification 1",,"Standard Shipping","03/07/2023","03/15/2023","APPROVED","45.52","153"
"49","temp description 2","Temp justification 2",,"Freight","03/01/2023","03/20/2023","APPROVED","13.65","1874"
"50","Temp description 3","Temp justification 1",,"In-Person Pickup","03/06/2023","03/18/2023","PENDING","4.37","2654"
"51","Temp description 1","Temp justification 1",,"Standard Shipping","03/02/2023","03/20/2023","APPROVED","18.33","4731"
"53","Temp description 3","Temp justification 1",,"Express Shipping","03/04/2023","03/19/2023","REVIEW","4.2","4557"
"55","temp description 2","Temp justification 3",,"Freight","03/01/2023","03/18/2023","REVIEW","33.42","2373"
"56","temp description 2","Temp justification 3",,"Express Shipping","03/06/2023","03/20/2023","APPROVED","9.2","3470"
"57","Temp description 3","Temp justification 2","Temp rejection reason 1","In-Person Pickup","03/01/2023","03/16/2023","REJECTED","3.89","2747"
"58","Temp description 3","Temp justification 1",,"White-Glove","03/01/2023","03/15/2023","REVIEW","0.34","4351"
"59","Temp description 1","Temp justification 1","Temp rejection reason 3","Express Shipping","03/03/2023","03/20/2023","REJECTED","6.35","2815"
"60","Temp description 1","Temp justification 2",,"In-Person Pickup","03/04/2023","03/18/2023","PENDING","25.62","2957"
"62","Temp description 1","Temp justification 3",,"Courier","03/01/2023","03/15/2023","PENDING","9.24","2283"
"64","Temp description 1","Temp justification 2",,"Express Shipping","03/06/2023","03/19/2023","APPROVED","71.64","1064"
"65","Temp description 1","Temp justification 1",,"In-Person Pickup","03/06/2023","03/16/2023","REVIEW","24.37","1727"
"66","Temp description 1","Temp justification 2",,"Express Shipping","03/07/2023","03/19/2023","APPROVED","6.31","376"
"67","Temp description 3","Temp justification 3",,"Courier","03/06/2023","03/15/2023","REVIEW","11.64","976"
"68","temp description 2","Temp justification 2",,"Standard Shipping","03/01/2023","03/17/2023","APPROVED","20.54","662"
"69","Temp description 1","Temp justification 1",,"Courier","03/08/2023","03/18/2023","REVIEW","14.76","3271"
"70","temp description 2","Temp justification 1",,"White-Glove","03/05/2023","03/18/2023","REVIEW","14.73","3586"
"71","temp description 2","Temp justification 2",,"Standard Shipping","03/06/2023","03/20/2023","PENDING","32.73","4687"
"72","Temp description 3","Temp justification 3","Temp rejection reason 3","Express Shipping","03/05/2023","03/21/2023","REJECTED","1.73","4349"
"73","Temp description 3","Temp justification 1","Temp rejection reason 1","In-Person Pickup","03/03/2023","03/19/2023","REJECTED","3.99","4665"
"74","Temp description 3","Temp justification 1",,"White-Glove","03/02/2023","03/17/2023","PENDING","1.47","1172"
"75","Temp description 3","Temp justification 1",,"Express Shipping","03/07/2023","03/19/2023","PENDING","7.91","2054"
"76","Temp description 3","Temp justification 2",,"Freight","03/04/2023","03/17/2023","PENDING","21.84","3685"
"77","temp description 2","Temp justification 3",,"Courier","03/07/2023","03/21/2023","REVIEW","0.99","4962"
"79","temp description 2","Temp justification 1",,"Digital","03/08/2023","03/18/2023","APPROVED","27.79","183"
"80","Temp description 3","Temp justification 1",,"Courier","03/07/2023","03/16/2023","APPROVED","19.44","3578"
"81","temp description 2","Temp justification 3",,"Standard Shipping","03/08/2023","03/18/2023","PENDING","10.56","1885"
"82","temp description 2","Temp justification 3",,"Express Shipping","03/03/2023","03/16/2023","REVIEW","32.34","4197"
"84","temp description 2","Temp justification 3",,"Standard Shipping","03/02/2023","03/15/2023","PENDING","143.52","1753"
"85","temp description 2","Temp justification 1",,"Express Shipping","03/02/2023","03/21/2023","REVIEW","17.55","3626"
"86","Temp description 1","Temp justification 3",,"Standard Shipping","03/02/2023","03/17/2023","REVIEW","17.85","125"
"87","Temp description 3","Temp justification 2",,"White-Glove","03/03/2023","03/21/2023","PENDING","6.01","295"
"88","Temp description 3","Temp justification 3",,"White-Glove","03/05/2023","03/21/2023","REVIEW","9.26","3370"
"90","temp description 2","Temp justification 1",,"In-Person Pickup","03/08/2023","03/17/2023","REVIEW","6.62","3673"
"91","Temp description 3","Temp justification 3",,"Digital","03/04/2023","03/19/2023","APPROVED","16.48","3416"
"92","temp description 2","Temp justification 3",,"White-Glove","03/02/2023","03/16/2023","PENDING","1.11","923"
"93","Temp description 1","Temp justification 1","Temp rejection reason 2","Standard Shipping","03/08/2023","03/19/2023","REJECTED","5.1","4545"
"94","Temp description 3","Temp justification 2",,"Freight","03/05/2023","03/16/2023","APPROVED","16.43","3188"
"95","Temp description 1","Temp justification 2",,"Freight","03/02/2023","03/20/2023","PENDING","28.3","4856"
"96","temp description 2","Temp justification 2",,"In-Person Pickup","03/01/2023","03/15/2023","APPROVED","4.91","3295"
"97","Temp description 1","Temp justification 1","Temp rejection reason 3","White-Glove","03/02/2023","03/15/2023","REJECTED","3.14","2359"
"98","Temp description 3","Temp justification 3",,"Freight","03/05/2023","03/18/2023","REVIEW","3.52","423"
"100","Temp description 1","Temp justification 3",,"In-Person Pickup","03/02/2023","03/17/2023","APPROVED","2.72","3874"
"101","Temp description 1","Temp justification 1",,"White-Glove","03/08/2023","03/17/2023","PENDING","15.62","411"
"103","Temp description 1","Temp justification 2",,"Express Shipping","03/01/2023","03/15/2023","PENDING","11.04","1820"
"104","Temp description 1","Temp justification 2",,"Freight","03/03/2023","03/15/2023","REVIEW","4.62","3057"
"105","Temp description 1","Temp justification 3",,"In-Person Pickup","03/07/2023","03/15/2023","APPROVED","2.43","1247"
"106","Temp description 1","Temp justification 1",,"Standard Shipping","03/02/2023","03/17/2023","PENDING","3.42","2596"
"107","Temp description 1","Temp justification 3",,"Freight","03/04/2023","03/18/2023","APPROVED","24.4","2898"
"109","Temp description 3","Temp justification 1",,"Freight","03/01/2023","03/19/2023","PENDING","9.04","2222"
"110","Temp description 3","Temp justification 2",,"Express Shipping","03/07/2023","03/20/2023","REVIEW","9.81","4355"
"112","Temp description 1","Temp justification 2",,"Express Shipping","03/01/2023","03/17/2023","APPROVED","1.67","4397"
"114","temp description 2","Temp justification 2","Temp rejection reason 3","Courier","03/08/2023","03/19/2023","REJECTED","22","3685"
"115","Temp description 1","Temp justification 1",,"Standard Shipping","03/04/2023","03/15/2023","REVIEW","3.5","1455"
"116","temp description 2","Temp justification 3","Temp rejection reason 2","Digital","03/02/2023","03/17/2023","REJECTED","27.65","1124"
"117","Temp description 1","Temp justification 2",,"Digital","03/01/2023","03/20/2023","APPROVED","15.7","4554"
"119","temp description 2","Temp justification 1",,"In-Person Pickup","03/04/2023","03/19/2023","APPROVED","10.63","3511"
"120","temp description 2","Temp justification 2",,"In-Person Pickup","03/04/2023","03/15/2023","APPROVED","11","4735"
"121","temp description 2","Temp justification 2","Temp rejection reason 1","Freight","03/01/2023","03/19/2023","REJECTED","9.85","2527"
"122","Temp description 3","Temp justification 1","Temp rejection reason 2","Courier","03/06/2023","03/17/2023","REJECTED","20.12","968"
"123","Temp description 1","Temp justification 3",,"Courier","03/01/2023","03/17/2023","PENDING","16.05","1958"
"126","temp description 2","Temp justification 3",,"Standard Shipping","03/07/2023","03/18/2023","REVIEW","2.21","233"
"127","temp description 2","Temp justification 3",,"Courier","03/01/2023","03/15/2023","APPROVED","7.96","4850"
"129","Temp description 3","Temp justification 2",,"Freight","03/01/2023","03/18/2023","PENDING","6.9","4051"
"130","temp description 2","Temp justification 1","Temp rejection reason 1","Standard Shipping","03/03/2023","03/21/2023","REJECTED","3.45","3777"
"131","temp description 2","Temp justification 1","Temp rejection reason 3","Courier","03/06/2023","03/16/2023","REJECTED","0.61","357"
"132","temp description 2","Temp justification 2",,"Standard Shipping","03/05/2023","03/21/2023","REVIEW","4.5","2599"
